MBLNR|MJAHR|BLDAT|BUDAT|WERKS|MATNR|MENGE|MEINS|BWART|NETWR|WAERS|LIFNR
5199274354|2025|29072025|13062025|US01  |FUEL_HEAVY_FUEL_OIL_802|61.279|MT|101|6218.88|USD|04935001
5929706739|2026|22042026|03052026|FRA01 |FUEL_HEAVY_FUEL_OIL_317|41.567|MT|101|4668.44|EUR|18127698
5742481721|2025|07052025|12022025|US02  |FUEL_DIESEL_392|2860.749|L|101|149689.67|USD|96918067
5436296568|2026|22042025|12022026|UK01  |FUEL_NATURAL_GAS_518|1519.146|M3|101|93479.4|GBP|63501020
5641375590|2025|08.01.2025|01012025|IN02  |FUEL_NATURAL_GAS_509|315.027|M3|101|45904.25|INR|96990311
5448626116|2026|28.03.2025|25022026|UK01  |FUEL_NATURAL_GAS_646|1583.827|M3|101|134862.98|GBP|80715831
5272570817|2025|30072025|02032025|MUM01 |FUEL_PETROL_670|4964.585|L|101|595048.22|INR|17746079
5868942740|2026|07062025|12032025|IN01  |FUEL_DIESEL_211|1259.234|L|101|183356.37|INR|50773167
5447557197|2025|08082025|22022025|US02  |FUEL_PETROL_673|2436.448|L|101|251054.87|USD|53675386
5172270621|2025|01012025|22012025|LON02 |FUEL_NATURAL_GAS_248|1819.45|M3|101|138137.79|GBP|02259132
5150682522|2025|01012025|08012025|IN01  |FUEL_DIESEL_370|1109.489|L|101|87445.77|INR|52512127
5599782279|2025|03022025|07012025|UK01  |FUEL_HEAVY_FUEL_OIL_490|94.529|MT|101|13642.45|GBP|76098979
5155173687|2025|18052025|13052025|IN02  |FUEL_DIESEL_821|1258.93|L|101|187388.5|INR|80536231
5724477624|2025|25012025|18022025|MUM01 |FUEL_HEAVY_FUEL_OIL_657|14.388|MT|101|1768.67|INR|91579050
5192951266|2026|04.02.2025|09.01.2026|IN02  |FUEL_HEAVY_FUEL_OIL_797|55.683|MT|101|6869.59|INR|27580814
5831979713|2025|08072025|12012025|CHI03 |FUEL_DIESEL_243|3544.32|L|101|247957.18|USD|88440917
5638695525|2025|12012025|07022025|LON02 |FUEL_DIESEL_301|2959.238|L|101|325015.55|GBP|01599838
5623877540|2025|02022025|03022025|DE01  |FUEL_HEAVY_FUEL_OIL_530|75.501|MT|101|5575.29|EUR|13340185
5751410794|2025|15012025|25052025|DE02  |FUEL_HEAVY_FUEL_OIL_176|87.605|MT|101|8253.81|EUR|37145985
5952891988|2025|08042025|13042025|UK01  |FUEL_DIESEL_746|4304.183|L|101|250845.94|GBP|58184415
5366582515|2025|08-Mar-2025|18082025|IN02  |FUEL_HEAVY_FUEL_OIL_202|53.671|MT|101|5518.8|INR|08487679
5281027456|2025|20022025|17052025|MUM01 |FUEL_NATURAL_GAS_369|629.295|M3|101|52912.69|INR|75956502
5352957348|2025|16032025|"=""01.04.2025"""|US02  |FUEL_NATURAL_GAS_253|1334.616|M3|101|188212.75|USD|04369275
5741974363|2025|08042025|29042025|LON02 |FUEL_PETROL_265|2234.503|L|101|303264.02|GBP|48156212
5557280015|2026|25022025|09032025|IN02  |FUEL_HEAVY_FUEL_OIL_752|17.571|MT|101|2517.3|INR|28566693
5683575959|2026|19042025|20022025|FRA01 |FUEL_PETROL_799|2571.156|L|101|148271.06|EUR|98444235
5361971946|2025|29042025|27042025|DEL05 |FUEL_NATURAL_GAS_538||M3|101|45717.78|INR|95206065
5369004591|2025|16.02.2025|04012025|LON02 |FUEL_DIESEL_900|4628.443|L|101|668613.88|GBP|04630505
5568782069|2025|12022025|15.04.2025|DEL05 |FUEL_PETROL_987|2801.544|L|101|322132.0|INR|54904088
5627599287|2025|12.08.2025|20072025|FRA01 |FUEL_HEAVY_FUEL_OIL_199|64.811|MT|101|5981.81|EUR|54095394
5596157670|2026|19042025|09022025|MUM01 |FUEL_NATURAL_GAS_146|1653.175|M3|101|212324.99|INR|15296906
5527259587|2026|25062025|21042025|MUM01 |FUEL_DIESEL_894|1374.998|L|101|119771.24|INR|71919956
5508754663|2025|22032025|13092025|CHI03 |FUEL_PETROL_233|3403.724|L|101|498102.29|USD|81970359
5010716377|2026|16042025|20052025|IN01  |FUEL_NATURAL_GAS_280|736.18|M3|101|75441.24|INR|76439946
5486444285|2025|08042025|13022025|MUM01 |FUEL_DIESEL_181|2871.524|L|101|232587.4|INR|12713914
5427501914|2026|16012026|04062025|FRA01 |FUEL_DIESEL_932|4697.414|L|101|522902.95|EUR|26692484
5371901252|2025|16032025|07022025|DE01  |FUEL_DIESEL_770|4483.398|L|101|421323.53|EUR|66780477
5455917319|2026|13092025|07042025|LON02 |FUEL_PETROL_286|2044.227|L|101|125528.15|GBP|12248212
5006713819|2025|19022025|08052025|FRA01 |FUEL_DIESEL_650|3774.566|L|101|564554.9|EUR|78198817
5162522073|2025|19102025|01052025|DEL05 |FUEL_PETROL_428|3900.053|L|101|404522.33|INR|26149288
5739542572|2026|05012025|28112025|FRA01 |FUEL_NATURAL_GAS_712|1918.631|M3|101|148940.16|EUR|42228962
5579254470|2025|26012025|29042025|CHI03 |FUEL_PETROL_341|4989.587|L|101|337166.65|USD|29279581
5242728695|2025|09052025|17032025|UK01  |FUEL_NATURAL_GAS_486|249.541|M3|101|17851.86|GBP|52490754
5857105056|2026|24062025|20/25/1812|CHI03 |FUEL_PETROL_938|2748.027|L|101|402708.35|USD|08501190
5147357416|2025|08012025|15032025|IN02  |FUEL_PETROL_607|4079.762|L|101|377283.81|INR|33229644
5441663522|2025|30052025|03.02.2025|US02  |FUEL_PETROL_720|2755.043|L|101|139338.63|USD|94129884
5965349678|2025|29082025|29072025|CHI03 |FUEL_DIESEL_861|4681.517|L|101|477012.4|USD|52235842
5283168194|2025|31012025|02012025|DE01  |FUEL_NATURAL_GAS_770|895.52|M3|101|109565.87|EUR|52541179
5666151442|2025|30072025|07032025|DEL05 |FUEL_PETROL_258|2061.601|L|101|189155.5|INR|59743352
5078998844|2025|14022025|10042025|US01  |FUEL_DIESEL_104|3149.203|L|101|399744.08|USD|00565489
5654357181|2025|17.07.2025|06.01.2025|US02  |FUEL_DIESEL_479|3730.427|L|101|422345.19|USD|97472167
5868269075|2025|09022025|12.03.2025|FRA01 |FUEL_NATURAL_GAS_209|1709.459|M3|101|197722.53|EUR|03249559
5088672737|2025|29052025|02062025|LON02 |FUEL_PETROL_355|3181.23|L|101|407666.59|GBP|33961892
5128417635|2026|07092025|17042025|UK01  |FUEL_NATURAL_GAS_550|660.278|ZZZ|101|72210.85|GBP|35869439
5638365790|2026|22082025|01022025|IN01  |FUEL_DIESEL_249|1380.577|L|101|150375.76|INR|29345481
5689717164|2025|09032025|19032025|DEL05 |FUEL_PETROL_527|1619.667|L|101|98046.95|INR|80608658
5577930594|2026|14052025|29082025|DE02  |FUEL_HEAVY_FUEL_OIL_554|83.348|MT|101|4230.65|EUR|28960453
5125684996|2025|24082025|07-Apr-2025|UK01  |FUEL_NATURAL_GAS_647|1973.082|M3|101|211340.96|GBP|08006011
5245421048|2025|14012025|06.01.2025|US01  |FUEL_HEAVY_FUEL_OIL_821|41.515|MT|101|5538.4|USD|83874738
5059122753|2025|12012025|19012025|LON02 ||382.82|M3|101|53914.98|GBP|55565069
5586100421|2025|26052025|29042025|DEL05 |FUEL_DIESEL_117|1022.176|L|101|75306.63|INR|17407586
5663916454|2025|"=""13.04.2025"""|13052025|LON02 |FUEL_PETROL_197|1965.125|L|101|273820.9|GBP|29793669
5106570226|2026|26092025|22.05.2025|LON02 |FUEL_DIESEL_841|3972.864|L|101|567243.51|GBP|24089771
5422798325|2025|06.01.2025|09022025|CHI03 |FUEL_NATURAL_GAS_127|1033.79|M3|101|72921.22|USD|85280583
5445086050|2026|25042025|21072025|LON02 |FUEL_DIESEL_826|4822.34|L|101|257516.77|GBP|22196587
5715853749|2025|26062025|04092025|UK01  |FUEL_NATURAL_GAS_848|739.71|M3|101|41469.3|GBP|76310603
5775946317|2025|03012025|06062025|MUM01 ||4542.285|L|101|565843.51|INR|17109639
5629802028|2026|04062025|02062025|LON02 |FUEL_DIESEL_626|3569.713|L|101|205805.99|GBP|88336385
5032294664|2025|22032025|23012025|IN02  |FUEL_HEAVY_FUEL_OIL_406|96.772|MT|101|11828.98|INR|78808499
5512073817|2026|01082025|05032025|MUM01 |FUEL_DIESEL_545|2872.444|L|101|154723.34|INR|70149932
5652707874|2026|04032025|26022026|DE01  |FUEL_PETROL_327|3199.867|L|101|462433.16|EUR|24904719
5935695879|2025|04012025|09012025|US01  |FUEL_NATURAL_GAS_578|1169.049|M3|101|70008.09|USD|41481767
5783988058|2025|15032025|12052025|UK01  |FUEL_PETROL_757|3583.5|L|101|221433.35|GBP|66841812
5862025384|2025|13062025|03/25/2025|IN01  |FUEL_NATURAL_GAS_780|1267.851|M3|101|151435.9|INR|68684185
5291859367|2025|26012025|20.01.2025|DEL05 |FUEL_NATURAL_GAS_577|420.308|M3|101|51925.76|INR|86738301
5633217762|2025|17052025|28062025|IN01  |FUEL_NATURAL_GAS_393|1331.828|M3|101|102967.98|INR|91054624
5339382904|2025|03042025|12072025|LON02 |FUEL_NATURAL_GAS_328|399.383|M3|101|25796.92|GBP|62172794
5812295987|2025|24082025|04062025|DE01  |FUEL_PETROL_706|4774.015|L|101|254884.19|EUR|25852567
5875173623|2026|14032025|13072025|US02  |FUEL_DIESEL_127|2205.423|L|101|285259.11|USD|10775695
5823135113|2026|26072025|09102025|IN01  |FUEL_DIESEL_893|3604.818|L|101|385052.86|INR|95035240
5098910570|2025|06.04.2025|21012025|LON02 |FUEL_NATURAL_GAS_911|1457.688|M3|101|190842.0|GBP|65841177
5533123427|2025|20012025|30092025|FRA01 |FUEL_DIESEL_143|4857.919|L|101|348353.65|EUR|96271957
5711198722|2025|25082025|04.02.2025|LON02 |FUEL_NATURAL_GAS_447|1205.908|M3|101|77977.3|GBP|41099531
5897279469|2025|01062025|24072025|IN02  |FUEL_PETROL_794|1195.284|L|101|102992.65|INR|84718930
5393703353|2025|01122025|05032025|CHI03 |FUEL_DIESEL_868|1982.307|L|101|145893.79|USD|89820619
5596689016|2025|02/02/2025|18042025|IN01  |FUEL_NATURAL_GAS_952|1779.823|M3|101|226806.44|INR|16051318
5225998505|2026|15022026|04022025|DE01  |FUEL_DIESEL_113|2254.649|L|101|214261.56|EUR|83891568
5446470372|2026|06032025|24052025|LON02 |FUEL_NATURAL_GAS_261|1641.282|M3|101|227255.72|GBP|15442973
5909114304|2025|22042025|27022025|DEL05 |FUEL_DIESEL_825|4153.729|L|101|492500.06|INR|17276734
5544277578|2025|17032025|21012025|DE01  |FUEL_PETROL_949|4218.215|L|101|594837.19|EUR|61266425
5342754525|2025|06062025|31052025|DEL05 |FUEL_NATURAL_GAS_825|400.362|M3|101|54822.28|INR|06025392
5720277892|2025|04072025|05052025|FRA01 |FUEL_HEAVY_FUEL_OIL_328|26.423|MT|101|2587.19|EUR|96369433
5612381886|2025|03022025|15022025|US01  |FUEL_HEAVY_FUEL_OIL_944|82.736|MT|101|8354.3|USD|34301465
5037184637|2025|04022025|22022025|IN01  |FUEL_HEAVY_FUEL_OIL_634|89.637|MT|101|11935.78|INR|47806831
5763655475|2026|19022025|25072025|CHI03 |FUEL_HEAVY_FUEL_OIL_655|35.827|MT|101|5287.4|USD|03634807
5934673666|2025|06012025|09012025|MUM01 ||57.901|MT|101|5453.45|INR|01588765
5978318724|2026|15.02.2025|27112025|UK01  |FUEL_DIESEL_897|1352.189|L|101|67966.94|GBP|77654899
5392783799|2026|21.06.2025|31.10.2025|LON02 |FUEL_DIESEL_637|1000.161|L|101|85329.8|GBP|55134740
5056503128|2025|02.06.2025|17012025|IN02  |FUEL_DIESEL_859|4654.742|L|101|386511.8|INR|05503064
5127130873|2025|21.01.2025|20012025|US02  |FUEL_PETROL_627|2761.835|L|101|194823.22|USD|68187022
5829761740|2025|18022025|26042025|MUM01 |FUEL_DIESEL_753|4694.859|L|101|547187.49|INR|49138112
5046056200|2026|11032026|20/25/1408|MUM01 |FUEL_PETROL_163|4667.652|L|101|262189.68|INR|92853200
5086037100|2026|02122025|26062025|IN02  |FUEL_DIESEL_840|1161.198|L|101|93712.8|INR|06159383
5728329793|2026|23032025|19012025|DE01  |FUEL_HEAVY_FUEL_OIL_773|61.671|MT|101|8901.77|EUR|32025251
5279387368|2026|08032025|22092025|MUM01 |FUEL_HEAVY_FUEL_OIL_316|80.392|MT|101|11739.21|INR|55389311
5934785183|2025|06062025|26042025|MUM01 |FUEL_DIESEL_411|2927.589|L|101|335959.23|INR|98200097
5514254177|2025|08072025|22012025|US01  |FUEL_DIESEL_690|4418.679|L|101|415347.19|USD|66612452
5340823281|2026|04/05/2025|25012025|MUM01 |FUEL_DIESEL_696|684.936|L|101|42279.83|INR|21203373
5568666864|2025|28032025|26052027|US02  |FUEL_PETROL_543|3970.933|L|101|277717.06|USD|34614880
5455593681|2025|05012025|08072025|UK01  |FUEL_NATURAL_GAS_992|981.698|M3|101|138344.55|GBP|14243465
5193958991|2026|11112025|15102025|UK01  |FUEL_NATURAL_GAS_868|1491.712|M3|101|77861.89|GBP|87519934
5322465910|2026|27062025|20.12.2025|IN02  |FUEL_DIESEL_910|4510.58|L|101|286115.16|INR|88330127
5472709659|2025|06102025|07052025|FRA01 |FUEL_HEAVY_FUEL_OIL_564|89.099|MT|101|12654.87|EUR|86424796
5434944517|2026|07042025|01112025|IN02  |FUEL_PETROL_130|793.356|L|101|93752.76|INR|05119489
5761992127|2026|19042025|01112025|IN01  |FUEL_DIESEL_940|3848.707|L|101|403148.46|INR|44055752
5554919945|2026|10092025|12042025|LON02 |FUEL_PETROL_293|3720.982|L|101|377676.87|GBP|78235312
5042887598|2026|03102025|18102025|IN02  |FUEL_NATURAL_GAS_561|1986.879|M3|101|228298.18|INR|09401733
5732848553|2026|27122025|25122025|UK01  |FUEL_DIESEL_857|3120.453|L|101|214396.25|GBP|26721084
5332603857|2025|15012025|31012025|IN01  |FUEL_HEAVY_FUEL_OIL_868|31.797|MT|101|4713.98|INR|12749485
5440585077|2025|09012025|01022025|FRA01 |FUEL_PETROL_466|4974.147|L|101|530740.96|EUR|26960648
5808246495|2025|07.02.2025|02012025|CHI03 |FUEL_HEAVY_FUEL_OIL_617|50.877|MT|101|6611.44|USD|28037675
5446565992|2025|26082025|27.07.2025|MUM01 |FUEL_PETROL_511|4518.877|L|101|300981.22|INR|35123782
5517645520|2025|27032025|23012025|UK01  |FUEL_NATURAL_GAS_235|1585.86|M3|101|202307.66|GBP|52361416
5834862472|2025|01012025|01012025|MUM01 |FUEL_DIESEL_508|2223.738|L|101|149513.41|INR|21015543
5830908043|2026|07052025|19012025|IN01  |FUEL_NATURAL_GAS_559|1392.142|M3|101|114527.42|INR|45584862
5914534215|2026|03.03.2026|20062025|DE02  |FUEL_DIESEL_733|4364.356|L|101|305636.45|EUR|15294568
5422208817|2025|04.03.2025|12.04.2025|DE01  |FUEL_NATURAL_GAS_802|1567.995|M3|101|218941.75|EUR|76913611
5937986679|2025|03012025|01.01.2025|DE02  |FUEL_PETROL_686|1888.61|L|101|95889.77|EUR|86634845
5110214910|2025|18112025|16052025|MUM01 |FUEL_NATURAL_GAS_773|245.081|M3|101|32174.93|INR|18393430
5040874097|2025|15032025|31052025|FRA01 |FUEL_NATURAL_GAS_843|1606.341|M3|101|102837.49|EUR|09945944
5200741436|2026|18052025|15012025|DE02  |FUEL_PETROL_304|4402.625|L|101|451219.14|EUR|68716136
5735890178|2026|31102025|26042025|DEL05 |FUEL_NATURAL_GAS_232|982.791|M3|101|66991.28|INR|78087147
5784401484|2026|07112025|25112025|IN02  |FUEL_PETROL_435|3803.788|L|101|370710.19|INR|71586194
5683458339|2025|07.04.2025|25032025|LON02 |FUEL_NATURAL_GAS_124|500.948|M3|101|51676.89|GBP|13110277
5212238542|2026|25042026|22062025|LON02 |FUEL_HEAVY_FUEL_OIL_557|18.497|MT|101|1190.58|GBP|73172623
5949660181|2025|17012025|27012025|IN01  |FUEL_DIESEL_854|2230.91|L|101|225178.66|INR|30700159
5451539505|2026|20112025|21072025|DEL05 |FUEL_NATURAL_GAS_397|623.66|M3|101|37537.2|INR|54304245
5585083448|2025|03/04/2025|02022025|LON02 |FUEL_PETROL_291|4160.051|L|101|276091.69|GBP|12756321
5801086696|2026|29042026|30082025|CHI03 |FUEL_DIESEL_491|1970.075|L|101|285444.07|USD|71231991
5433368999|2025|27022025|27092025|FRA01 |FUEL_DIESEL_978|4567.75|L|101|369547.9|EUR|23544259
5826641160|2025|01012025|01012025|DE01  |FUEL_NATURAL_GAS_481|1451.445|M3|101|140345.28|EUR|85446720
5895150719|2025|23032025|03012025|UK01  |FUEL_DIESEL_789|2613.422|L|101|390853.99|GBP|61295552
5833876865|2025|04.10.2025|27092025|DEL05 |FUEL_NATURAL_GAS_718|1745.261|M3|101|238472.24|INR|45849390
5257852914|2025|10042025|29-Apr-2025|FRA01 |FUEL_PETROL_639|2459.851|L|101|152234.38|EUR|16591252
5428470581|2026|02.11.2025|31012025|US02  |FUEL_HEAVY_FUEL_OIL_308|72.439|MT|101|7043.98|USD|55930667
5772705976|2025|10032025|25042025|IN01  |FUEL_DIESEL_974|881.244|L|101|96393.36|INR|07797727
5919873221|2026|01122025|04102025|IN01  |FUEL_DIESEL_716|1374.479|L|101|91252.13|INR|81461941
5095990439|2026|27112025|20082025|UK01     |FUEL_HEAVY_FUEL_OIL_153|60.052|MT|101|5911.07|GBP|00052579
5129490535|2025|28022025|28022025|US01  |FUEL_PETROL_256|2225.05|L|101|181071.71|USD|65708047
5056075832|2026|02062025|18012025|UK01  |FUEL_DIESEL_204|1731.777|L|101|124988.02|GBP|96766344
5202130847|2026|05012025|06022026|UK01  |FUEL_PETROL_406|1088.01|L|101|117780.37|GBP|91443645
5066609364|2025|03032025|17022025|US02  |FUEL_DIESEL_572|2753.22|L|101|400185.68|USD|00257578
5965782440|2025|24012025|05012025|DE01  |FUEL_DIESEL_898|2968.389|L|101|407057.68|EUR|05228934
5755642477|2025|12.02.2025|14042025|IN02  |FUEL_HEAVY_FUEL_OIL_364|89.166|MT|101|11288.45|INR|36825570
5018079129|2025|26082025|22022025|DE01  |FUEL_NATURAL_GAS_591|1072.512|M3|101|143851.48|EUR|27077768
5591155654|2025|18042025|17052025|LON02 |FUEL_DIESEL_639|1563.979|L|101|99071.89|GBP|90037190
5010998677|2025|02032025|25032025|CHI03 |FUEL_HEAVY_FUEL_OIL_871|50.675|MT|101|6410.27|USD|85178633
5413557765|2026|29082025|23062025|DEL05 |FUEL_NATURAL_GAS_675|693.183|M3|101|35710.33|INR|55958363
5048420606|2025|13052025|26112025|IN01  |FUEL_HEAVY_FUEL_OIL_309|76.374|MT|101|4684.47|INR|10443492
5296894398|2026|02012026|17102025|DE02  |FUEL_NATURAL_GAS_403|1176.144|M3|101|91675.55|EUR|00317886
5088615592|2025|21012025|12012025|CHI03 |FUEL_PETROL_981|2614.776|L|101|260631.41|USD|12864274
5408267281|2026|13122025|08012026|FRA01 |FUEL_PETROL_839|4036.867|L|101|252899.31|EUR|40273607
5134024632|2025|24022025|05022025|MUM01 |FUEL_HEAVY_FUEL_OIL_562|39.554|MT|101|5722.91|INR|83881938
5405509998|2025|19072025|23022025|DE02  |FUEL_HEAVY_FUEL_OIL_823|32.647|MT|101|2297.39|EUR|18264758
5838069665|2026|10012026|16072025|LON02 |FUEL_HEAVY_FUEL_OIL_646|18.622|MT|101|2087.97|GBP|48891741
5547900728|2026|04022025|01-Jan-2025|US01  |FUEL_HEAVY_FUEL_OIL_543|82.763|MT|101|5005.13|USD|69284983
5523586051|2026|11082025|05032025|US01  |FUEL_PETROL_756|890.118|L|101|64872.77|USD|80612628
5588933846|2025|18012025|"=""27.01.2025"""|UK01  |FUEL_HEAVY_FUEL_OIL_278|23.446|MT|101|3381.69|GBP|88813127
5969156261|2025|25052025|18052025|CHI03 |FUEL_DIESEL_245|3332.223|L|101|174114.54|USD|76590652
5595148219|2026|22032026|15022026|DE02  |FUEL_PETROL_340|2574.257|L|101|143808.39|EUR|87825198
5415815939|2025|04022025|09082025|IN01  |FUEL_PETROL_877|1872.547|L|101|209568.68|INR|60064404
5951093409|2026|21052025|29122025|UK01  |FUEL_DIESEL_929|2526.71|L|101|295973.41|GBP|39713522
5433795921|2025|03012025|14012025|DE02  |FUEL_PETROL_230|4386.972|L|101|645466.85|EUR|94881600
5706929239|2025|30-Mar-2025|27042025|UK01  |FUEL_PETROL_271|1328.086|L|101|156173.62|GBP|82700943
5525189889|2025|02032025|28022025|US02  |FUEL_NATURAL_GAS_129|995.957|M3|101|87169.95|USD|00750169
5664466816|2026|06052025|29032025|DE01  |FUEL_DIESEL_500|2992.645|L|101|393416.85|EUR|21533985
5998619268|2025|25022025|30032025|MUM01 |FUEL_HEAVY_FUEL_OIL_849|5.151|MT|101|488.8|INR|54047628
5887535491|2026|19092025|06122025|DE01  |FUEL_NATURAL_GAS_395|1778.343|M3|101|265632.08|EUR|15637873
5646539373|2025|25082025|19.01.2025|FRA01 |FUEL_PETROL_332|1938.422|L|101|205121.56|EUR|68887988
5800327439|2025|30012025|09012025|MUM01 |FUEL_PETROL_855|2570.351|L|101|276324.64|INR|90015875
5589408100|2025|16062025|31032025|DEL05 |FUEL_PETROL_936|-1851.076|L|101|183315.72|INR|67586624
5980222427|2025|12062025|31052025|DE02  |FUEL_PETROL_268||L|101|431997.67|EUR|69906316
5633240467|2025|01062025|08042025|MUM01 |FUEL_PETROL_123|2806.701|L|101|405763.32|INR|53947172
5444511029|2026|17062025|02112025|IN01  |FUEL_PETROL_545|1262.266|L|101|172495.27|INR|29091892
5212256843|2025|08052025|13052025|CHI03 |FUEL_DIESEL_983|4743.374|L|101|563956.97|USD|42223276
5609501894|2026|30042025|29082025|UK01  |FUEL_NATURAL_GAS_576|1213.28|M3|101|161096.48|GBP|32072988
5332555617|2025|29082025|25032025|DEL05 |FUEL_DIESEL_605|4404.584|L|101|546063.08|INR|42938616
5804556992|2026|10112025|22062025|IN02  |FUEL_DIESEL_585|2477.74|L|101|217144.41|INR|21135758
5987916270|2025|14052025|27072025|IN01  |FUEL_DIESEL_502|3634.665|L|101|423478.39|INR|90907722
5170613229|2025|31012025|10062025|LON02 |FUEL_DIESEL_976|1870.6|L|101|101139.1|GBP|73091290
5902276281|2026|12042026|18042025|UK01  |FUEL_PETROL_846|4273.495|L|101|255758.84|GBP|78029651
5426049350|2025|02042025|20022025|DEL05 |FUEL_HEAVY_FUEL_OIL_265|5.699|MT|101|656.28|INR|88467450
5555601336|2026|20022025|09052025|UK01  |FUEL_HEAVY_FUEL_OIL_749|43.47|MT|101|2907.8|GBP|91122023
5617619909|2025|29062025|07062025|UK01  |FUEL_NATURAL_GAS_775||M3|101|110377.15|GBP|93512858
5330566047|2026|16022026|21072025|CHI03 |FUEL_HEAVY_FUEL_OIL_400|93.468|MT|101|5023.15|USD|11459988
5755478913|2026|24022025|03102025|DE01  |FUEL_NATURAL_GAS_156|1621.339|M3|101|238756.35|EUR|31451225
5806970278|2026|07012025|10062025|CHI03 |FUEL_HEAVY_FUEL_OIL_377|95.145|MT|101|6669.14|USD|63817683
