MBLNR|MJAHR|BLDAT|BUDAT|WERKS|MATNR|MENGE|MEINS|ERFMG|ERFME|BWART|SHKZG|NETWR|WAERS|LIFNR|XBLNR
5799322083|2025|05012025|05012025|DEL05 |RMF-LUB-404KG|328.023|MT|328.023|MT|101|H|64950.34|INR|000009981|PO-2026835
5939750944|2025|05012025|04012025|MUM01 |MAT_380032_REV1|1605.212|L||L|101|S|199676.09|INR|000009981|
5902507847|2025|07.01.2025|07012025|DE02  |Z-CHEM-7046|310.549|EA|310.549|EA|101|H|28045.22|EUR|000000223|PO-2025885
5133121616|2025|03.01.2025|08-Jan-2025|UK01  |RMF-LUB-437KG|1813.042|L|1813.042|L|101|H|285266.63|GBP|000005551|PO-2026859
5466882838|2025|"=""08.01.2025"""|01012025|IN01  |RMF-IND-598KG|212.001|MT|212.001|MT|101|S|30002.14|INR|000009981|PO-2026941
5542368523|2025|10.01.2025|01/03/2025|LON02 |MAT_119942_B|1545.365|L|1545.365|L|101|H|239973.55|GBP|000005551|PO-2025158
5024380398|2025|03012025|08012025|LON02 |MAT_872947_A|327.462|BOX|327.462|BOX|101|H|63265.59|GBP|000005551|PO-2025558
5720268635|2025|03012025|05012025|MUM01 |MAT_850305_REV1|1695.723|L|1695.723|L|541|S|517236.87|INR|000009981|PO-2025224
5941282712|2025|13012025|06012025|UK01  |MAT_212788_REV1|8349.492|L|8349.492|L|501|S|1136622.52|GBP|000005551|
5797465279|2025|05.01.2025|04012025|DEL05 |307366089641170696|114.594|MT|114.594|MT|102|H|45879.09|INR|000009981|PO-2026343
5140136515|2025|14012025|05012025|FRA01 |Z-LUBE-5600|834.658|L|834.658|L|102|H|370072.55|EUR|000000112|PO-2026099
5360852080|2025|14012025|11012025|DE02  |MAT_211601_REV1|506.749|L|506.749|L|261|S|239740.63|EUR|000000223|PO-2026866
5837685846|2025|13012025|11012025|US01  |Z-FUEL-7922|1465.477|L||L|541|H|123307.33|USD|000002211|
5571786060|2025|14012025|10012025|MUM01 |846321396479868841|475.292|MT|475.292|MT|101|H|95537.87|INR|000004611|
5133415432|2025|05012025|08.01.2025|DEL05 |784499633534661025|19897.766|L|19897.766|L|101|S|2818634.83|INR|000008821|
5265456211|2025|03.01.2025|02012025|US02  |Z-LUBE-8264|35.964|HR|35.964|HR|501|S|16893.43|USD|000002212|PO-2026242
5089147140|2025|04012025|08012025|US02  |RMF-CHE-608MT|415.74|HR|415.74|HR|101|S|112951.16|USD|000002212|PO-2026689
5936118353|2025|04012025|01012025|IN02  |Z-LUBE-1771|260.346|MT|260.346|MT|101|H|107049.07|INR|000009981|PO-2026094
5778121499|2025|06012025|14012025|UK01  |Z-FUEL-6647|3189.613|L|3189.613|L|261|S|841291.36|GBP|000005551|
5552277779|2025|04012025|05.01.2025|LON02 |MAT_936998_REV2|158.918|BOX|158.918|BOX|101|S|54473.09|GBP|000005551|PO-2025098
5805379653|2025|03012025|02012025|US01  |MAT_620049_REV1|1835.081|L|1835.081|L|201|H|674500.77|USD|000002211|PO-2025580
5916865746|2025|04012025|10012025|FRA01 |Z-LUBE-3830|916.11|L|916.11|L|101|S|438681.14|EUR|000000223|PO-2026418
5014528765|2025|14012025|01012025|IN02  |322358981836922774|504.566|L|504.566|L|101|S|176688.56|INR|000009981|PO-2026456
5952882851|2025|07012025|08012025|US01  |RMF-DIE-274MT|773.644|L||L|101|H|125370.33|USD|000002211|PO-2026831
5497497095|2025|04012025|01012025|IN02  |RMF-LUB-968KG|700.89|L|700.89|L|101|S|327203.46|INR|000009981|PO-2025857
5745839045|2025|11012025|03012025|CHI03 |Z-FUEL-2885|7498.206|L|7498.206|L|501|S|3019862.67|USD|000002211|PO-2025377
5666791894|2025|02012025|08012025|FRA01 |Z-LUBE-9603|43221.236|L|43221.236|L|101|S|10407033.45|EUR|000000112|
5678122740|2025|17-Jan-2025|15.01.2025|FRA01 |RMF-DIE-744KG|262.551|KG|262.551|KG|101|H|119301.18|EUR|000000223|PO-2026589
5402109430|2025|17.01.2025|04012025|DEL05 |123488829344283449|1949.101|L|1949.101|L|321|S|940834.01|INR|000009981|PO-2025559
5456575355|2025|01012025|16-Jan-2025|CHI03 |RMF-IND-543L|323.865|EA|323.865|EA|101|H|57167.81|USD|000002211|
5694982439|2025|08012025|19.01.2025|DE02  |MAT_321071_REV2|458.908|EA|458.908|EA|101|S|56111.09|EUR|000000223|PO-2025141
5784766825|2025|16012025|12012025|IN01  |MAT_886865_REV1|105.099|BOX|105.099|BOX|101|S|14909.2|INR|000009981|PO-2025939
5089300621|2025|12012025|04012025|LON02 |247967481152274920|5985.989|L|5985.989|L|102|H|1267825.41|GBP|000005551|PO-2025596
5021699837|2025|12012025|19012025|FRA01 |MAT_939363_A|182.027|EA|182.027|EA|101|S|9943.99|EUR|000000112|PO-2025053
5918125297|2025|06012025|20012025|IN02  |Z-FUEL-2990|1363.609|L|1363.609|L|101|H|341185.9|INR|000009981|PO-2025277
5720153756|2025|11012025|16012025|LON02 |MAT_666374_B|715.136|L|715.136||261|S|293189.09|GBP|000005551|
5659991486|2025|12012025|20-Jan-2025|UK01  |RMF-IND-403L|5989.128|L|5989.128|L|101|S|2185146.12|GBP|000005551|
5067579408|2025|19012025|09.01.2025|US02  |Z-FUEL-8582|747.785|L|747.785|L|541|H|256137.95|USD|000002211|
5730745859|2025|11012025|19.01.2025|IN01  |066589364558843387|1432.463|L|1432.463|L|501|S|465676.13|INR|000004611|PO-2025442
5960417300|2025|13012025|15012025|MUM01 |RMF-LUB-883KG|4463.125|L|4463.125||541|H|1401356.44|INR|000009981|PO-2026346
5867187264|2025|21012025|10012025|MUM01 |MAT_751913_B|37073.432|L|37073.432|L|101|S|10270815.68|INR|000009981|PO-2025720
5178132637|2025|02012025|22012025|IN01  |Z-CHEM-8307|6714.485|L|6714.485|L|101|H|954365.7|INR|000009981|PO-2025085
5140551175|2025|19012025|11012025|IN02  |RMF-DIE-666KG|344.247|L|344.247|L|101|H|142117.36|INR|000008821|
5977625195|2025|02.01.2025|19012025|UK01  |MAT_647317_REV1|4595.358|L|4595.358|L|321|H|1186312.09|GBP|000005551|PO-2026458
5839745550|2025|22012025|01012025|DEL05 |RMF-DIE-293L|110.948|BOX|110.948|BOX|101|S|25786.94|INR|000009981|PO-2026166
5440942147|2025|13012025|16012025|MUM01 |MAT_923564_REV2|6562.585|L|6562.585|L|321|H|811169.2|INR|000009981|PO-2025269
5671033391|2025|10012025|13012025|US02  |Z-STEEL-7016|72.234|EA|72.234|EA|101|S|7547.79|USD|000002211|
5181025445|2025|07.01.2025|21012025|MUM01 |RMF-CHE-584L|535.789|L|535.789|L|101|H|100915.11|INR|000009981|PO-2025292
5294999471|2025|18012025|02012025|UK01  |809647773412604489|159.231|BOX|159.231|BOX|122|S|11968.22|GBP|000005551|PO-2026256
5526724365|2025|19012025|03012025|US02  |606781783946390538|323.914|EA|323.914|EA|101|S|88098.05|USD|000002211|PO-2025787
5032440679|2025|04012025|09012025|CHI03 |RMF-IND-814KG|721.338|L|721.338|L|501|H|253668.67|USD|000002211|PO-2026400
5446302557|2025|06012025|21012025|US01  |Z-CHEM-5286|1077.707|L|1077.707|L|101|S|475505.55|USD|000002211|
5910434852|2025|20012025|08012025|US02  |Z-STEEL-3174|7456.343|L|7456.343|L|101|H|2723005.45|USD|000002211|PO-2026031
5952097953|2025|16012025|03012025|US02  |MAT_457680_REV2|641.993|L|641.993|L|101|S|136737.42|USD|000002211|PO-2025150
5443882408|2025|06012025|06012025|IN01  |Z-FUEL-8965|342.385|MT|342.385|MT|102|S|92858.44|INR|000004611|PO-2026686
5763582719|2025|17012025|28012025|IN01  |MAT_459016_REV1|225.073|MT|225.073||101|H|28310.75|INR|000008821|PO-2026900
5060400427|2025|12012025|27012025|US01  |Z-STEEL-3951|6429.714|L|6429.714|L|101|H|2791852.24|USD|000002211|
5416356377|2025|09012025|05012025|FRA01 |RMF-DIE-678L|133.193|EA|133.193||101|H|29680.93|EUR|000000223|PO-2025358
5859040933|2025|13012025|05012025|FRA01 |441481765627174275|470.189|EA|470.189|EA|101|S|101330.34|EUR|000000223|PO-2026962
5387668729|2025|17012025|01012025|CHI03 |142329187327643901|450.536|EA|450.536|EA|541|H|150368.65|USD|000002212|PO-2025778
5047538356|2025|28012025|21012025|FRA01 |RMF-IND-189L|1820.837|L|1820.837|L|101|S|654569.68|EUR|000000112|
5639210290|2025|28012025|13012025|FRA01 |RMF-DIE-210L|375.974|KG|375.974|KG|101|S|130198.12|EUR|000000112|PO-2025774
5007156199|2025|19.01.2025|08012025|UK01  |Z-CHEM-3324|345.642|BOX|345.642|BOX|101|H|60294.2|GBP|000005551|PO-2026413
5432715629|2025|03012025|16012025|DE02  |MAT_313588_REV2|3484.235|L|3484.235|L|101|H|604308.42|EUR|000000112|PO-2026783
5057492062|2025|22012025|26012025|IN02  |RMF-DIE-533L|27943.466|L|27943.466|L|501|S|4447713.28|INR|000009981|
5948580913|2025|22012025|17012025|DE02  |Z-FUEL-6896|131.747|KG|131.747|KG|101|H|6692.61|EUR|000000223|PO-2026483
5325736170|2025|28012025|29012025|DE02  |873035970846024814|404.206|EA|404.206|EA|101|H|55829.93|EUR|000000223|PO-2026328
5962254415|2025|29012025|28012025|US02  |RMF-DIE-163MT|1707.342|L|1707.342|L|541|S|468944.59|USD|000002211|PO-2026168
5920231651|2025|05012025|08012025|DE02  |RMF-LUB-526MT|377.421|EA|377.421|EA|101|S|122936.3|EUR|000000112|PO-2025982
5630596492|2025|06012025|05012025|IN01  |841195345949086921|236.593|L|236.593||101|S|44311.46|INR|000008821|
5930766327|2025|06012025|19012025|IN01  |MAT_960351_A|1272.825|L|1272.825|L|101|H|105048.77|INR|000009981|PO-2025688
5089883748|2025|21012025|27012025|DEL05 |710076583798399876|1482.116|L|1482.116|L|101|S|92810.82|INR|000009981|PO-2025231
5195555554|2025|28012025|14012025|US02  |MAT_804502_A|473.955|HR|473.955|HR|541|H|218236.96|USD|000002211|PO-2026674
5477298001|2025|03012025|02012025|MUM01 |RMF-LUB-430KG|170.262|L|170.262|L|101|H|52500.34|INR|000008821|PO-2025500
5135228569|2025|02012025|25.01.2025|LON02 |RMF-CHE-102KG|944.573|L|944.573|L|101|S|338173.24|GBP|000005551|PO-2025194
5427404754|2025|15012025|29012025|US01  |Z-CHEM-3839|275.394|EA|275.394|EA|201|H|51214.03|USD|000002211|PO-2025274
5916346168|2025|01022025|23012025|UK01  |MAT_556371_B|465.876|BOX|465.876|BOX|541|S|81668.09|GBP|000005551|PO-2026162
5338697969|2025|25-Jan-2025|16012025|CHI03 |MAT_421264_REV2|4432.538|L|4432.538|L|501|S|533224.43|USD|000002211|PO-2026667
5598676469|2025|04012025|06012025|LON02 |MAT_505586_A|442.122|BOX|442.122|BOX|501|H|167960.96|GBP|000005551|PO-2026618
5954394289|2025|16012025|02012025|UK01  |842016325968770861|1107.818|L|1107.818|L|102|H|444838.78|GBP|000005551|
5060530896|2025|01.02.2025|01012025|IN01  |MAT_793113_A|1901.002|L|1901.002|L|101|S|813426.94|INR|000004611|PO-2026422
5944554845|2025|05.02.2025|31012025|LON02 |443796251570168317|32914.187|L||L|101|H|5348222.22|GBP|000005551|
5428953815|2025|14012025|06022025|FRA01 |RMF-IND-363MT|422.207|KG|422.207|KG|201|S|117110.88|EUR|000000223|
5195714701|2025|10012025|20012025|LON02 |MAT_281124_A|5553.889|L|5553.889|L|101|H|1740939.36|GBP|000005551|PO-2025582
5378296097|2025|01012025|01/05/2025|US02  |Z-STEEL-4417|323.86|EA|323.86|EA|541|H|52282.95|USD|000002211|
5486316566|2025|30012025|24012025|IN01  |RMF-IND-847MT|1550.654|L|1550.654|L|101|H|493173.21|INR|000009981|
5720613765|2025|02012025|12012025|FRA01 |237881949056981007|1911.876|L|1911.876|L|101|H|305037.33|EUR|000000223|PO-2025126
5683294960|2025|08012025|09012025|DEL05 |863599397917529501|41330.131|L|41330.131|L|261|H|10493550.48|INR|000009981|
5476263165|2025|06022025|12012025|UK01  |MAT_124643_B|1703.464|L|1703.464|L|101|S|565456.09|GBP|000005551|PO-2026696
5620948699|2025|23012025|04012025|IN01  |Z-FUEL-3619|914.029|L|914.029|L|541|H|228556.9|INR|000009981|
5477538818|2025|04022025|04012025|LON02 |728801753665688308|323.463|BOX|323.463|BOX|101|H|109799.93|GBP|000005551|PO-2026663
5431825017|2025|02012025|01012025|LON02 |MAT_823666_REV1|1334.442|L|1334.442|L|541|H|70450.26|GBP|000005551|
5263746535|2025|12012025|04012025|DE02  |Z-LUBE-3676|427.215|EA|427.215|EA|541|H|56747.83|EUR|000000112|PO-2025730
5636494683|2025|"=""08.02.2025"""|25012025|DE02  |RMF-IND-517KG|384.848|KG|384.848|KG|101|S|94090.05|EUR|000000112|
5528359636|2025|29012025|26012025|LON02 |MAT_308530_REV2|8151.443|L|8151.443|L|101|H|2662020.47|GBP|000005551|PO-2026146
5037064542|2025|09012025|10022025|MUM01 |203299018493496880|498.555|MT|498.555||101|S|61734.02|INR|000004611|PO-2025117
5021684637|2025|03022025|08012025|MUM01 |RMF-CHE-456KG|235.668|MT|235.668|MT|101|H|81659.71|INR|000009981|
5776382581|2025|29012025|13.01.2025|MUM01 |670883759541598455|7329.393|L|7329.393|L|101|S|2249442.84|INR|000009981|PO-2025458
5926279615|2025|18012025|01/17/2025|DE01  |Z-FUEL-1314|657.213|L|657.213|L|321|S|74003.14|EUR|000000112|
5222365740|2025|29012025|06012025|LON02 |Z-STEEL-2570|8456.366|L|8456.366|L|101|H|2964377.57|GBP|000005551|
5153004482|2025|30012025|21012025|IN02  |RMF-CHE-866L|5676.793|L|5676.793|L|101|S|2785461.66|INR|000009981|
5336858514|2025|07012025|12.01.2025|UK01  |Z-CHEM-4393|486.876|BOX|486.876|BOX|101|S|143373.8|GBP|000005551|PO-2025623
5373118880|2025|11022025|06012025|UK01  |MAT_348886_B|1295.676|L|1295.676|L|101|S|183522.35|GBP|000005551|PO-2026556
5677504982|2025|30012025|02022025|DEL05 |RMF-LUB-710L|4145.524|L|4145.524|L|101|H|1386562.65|INR|000009981|PO-2025648
5647052125|2025|17012025|10022025|UK01  |Z-LUBE-5319|1035.568|L||L|101|S|402438.73|GBP|000005551|PO-2025488
5202401757|2025|01022025|16012025|IN02  |MAT_306395_B|278.292|BOX|278.292|BOX|101|H|82245.97|INR|000009981|PO-2025864
5215753751|2025|13022025|26012025|LON02 |Z-LUBE-1017|625.821|L|625.821|L|101|S|240107.07|GBP|000005551|
5475298254|2025|22012025|27012025|IN01  |757639288949192470|6184.539|L|6184.539|L|201|H|1418892.63|INR|000009981|PO-2026144
5252972946|2025|28012025|10012025|UK01  |537077342616415143|1340.716|L|1340.716|L|101|S|137430.85|GBP|000005551|PO-2026069
5538362950|2025|20012025|03022025|US02  |Z-CHEM-9898|1415.677|L|1415.677|L|101|S|295743.1|USD|000002211|PO-2026081
5824262162|2025|08012025|27012025|IN02  |Z-LUBE-1254|902.327|L||L|101|H|125700.77|INR|000009981|PO-2025538
5225995680|2025|06022025|20012025|IN01  |MAT_781881_B|34072.333|L||L|501|S|3020070.53|INR|000009981|PO-2025775
5461839292|2025|06012025|13012025|IN01  |Z-CHEM-6102|270.723|L|270.723||101|S|42744.05|INR|000009981|PO-2026403
5141266353|2025|24012025|16012025|UK01  |MAT_505941_REV2|4735.196|L|4735.196|L|101|H|267394.86|GBP|000005551|PO-2025078
5580739394|2025|03012025|09012025|DE02  |RMF-IND-583KG|6112.706|L|6112.706|L|101|S|880805.24|EUR|000000112|PO-2026684
5676728285|2025|17012025|24012025|LON02 |235568869136356924|445.512|BOX|445.512|BOX|101|S|105512.23|GBP|000005551|
5554091043|2025|20012025|27.01.2025|LON02 |RMF-DIE-649L|7786.084|L|7786.084|L|101|S|417309.3|GBP|000005551|
5008373267|2025|14012025|30012025|UK01  |MAT_998708_A|73.357|BOX|73.357|BOX|101|H|26326.16|GBP|000005551|PO-2026634
5166795014|2025|04012025|01012025|UK01  |MAT_494626_B|1866.051|L|1866.051|L|321|S|648368.34|GBP|000005551|PO-2025249
5328212216|2025|08022025|25012025|DEL05 |217361041671538514|1921.102|L|1921.102|L|101|H|161539.18|INR|000008821|PO-2025514
5975476008|2025|24.01.2025|21012025|US02  |Z-STEEL-1785|1844.638|L|1844.638||102|H|601769.44|USD|000002211|
5934236856|2025|04012025|26012025|IN01  |MAT_637073_A|7233.657|L|7233.657|L|541|H|3442186.81|INR|000009981|PO-2026529
5718552705|2025|07.01.2025|05.01.2025|CHI03 |RMF-DIE-540L|551.15|L|551.15||101|H|215299.05|USD|000002211|PO-2026106
5407906145|2025|26012025|15.02.2025|LON02 |651891978478193261|48.916|BOX|48.916||501|S|6598.5|GBP|000005551|PO-2025825
5584404621|2025|23012025|19022025|DEL05 |RMF-LUB-859MT|1303.11|L|1303.11|L|101|S|109771.6|INR|000009981|PO-2026595
5465144563|2025|14022025|03022025|DE02  |Z-FUEL-8951|6434.447|L|6434.447|L|101|H|1950436.72|EUR|000000112|PO-2026944
5936228721|2025|17012025|09012025|CHI03 |Z-LUBE-6479|317.16|EA|317.16|EA|101|H|26307.17|USD|000002212|
5692775287|2025|25012025|11012025|DE02  |MAT_372737_REV1|46100.871|L|46100.871|L|321|S|10468962.63|EUR|000000112|PO-2025343
5407826670|2025|19012025|06012025|UK01  |RMF-CHE-546L|8813.254|L|8813.254|L|101|H|1370710.02|GBP|000005551|PO-2025135
5223289507|2025|"=""23.02.2025"""|18012025|UK01  |999394456241979594|466.183|BOX|466.183|BOX|101|S|116184.63|GBP|000005551|PO-2026211
5692501558|2025|28012025|04022025|IN01  |MAT_542207_B|996.632|L|996.632|L|101|H|136998.93|INR|000009981|
5758938299|2025|25012025|"=""29.01.2025"""|UK01  |Z-CHEM-3570|699.715|L|699.715|L|101|H|176425.89|GBP|000005551|
5128427573|2025|08012025|21012025|DE02  |RMF-LUB-724MT|204.313|KG|204.313|KG|101|H|46862.61|EUR|000000112|PO-2025433
5262126303|2025|"=""03.02.2025"""|19-Jan-2025|US01  |Z-CHEM-4894|1286.854|L|1286.854|L|101|H|430091.48|USD|000002211|PO-2026276
5230456668|2025|07012025|30012025|UK01  |202092488618655429|3929.022|L|3929.022|L|101|H|884804.26|GBP|000005551|
5760837501|2025|30012025|25022025|UK01  |466164420683111146|150.053|BOX|150.053|BOX|101|H|20315.3|GBP|000005551|PO-2025201
5971157708|2025|17012025|16022025|US02  |RMF-IND-689MT|323.548|EA|323.548|EA|101|H|78263.58|USD|000002211|PO-2026998
5095806900|2025|03022025|05022025|DEL05 |MAT_373843_A|1208.233|L|1208.233|L|102|S|459255.79|INR|000009981|PO-2025774
5573093534|2025|04012025|06022025|DEL05 |RMF-IND-595L|40590.057|L|40590.057|L|101|S|3235830.27|INR|000004611|PO-2026054
5713008299|2025|10022025|08022025|DEL05 |MAT_614177_REV2|447.498|MT|447.498|MT|101|H|50128.18|INR|000009981|
5473626911|2025|26012025|06022025|IN01  |Z-CHEM-2724|4846.299|L|4846.299|L|101|S|2282476.79|INR|000009981|
5516238289|2025|01012025|08022025|IN02  |Z-FUEL-9898|5914.87|L|||101|H|2699319.94|INR|000009981|
5943120211|2025|17012025|15012025|IN02  |RMF-IND-738KG|1406.303|L|1406.303|L|501|H|255650.2|INR|000004611|
5533000201|2025|27012025|13022025|US02  |RMF-CHE-184MT|1011.218|L|1011.218|L|101|H|248108.15|USD|000002212|PO-2025397
5462932007|2025|05022025|"=""19.01.2025"""|DEL05 |MAT_376051_A|303.549|MT|303.549|MT|101|S|53529.31|INR|000004611|PO-2025816
5035679561|2025|11022025|"=""26.02.2025"""|UK01  |RMF-IND-592L|1570.356|L|1570.356||541|H|264067.34|GBP|000005551|PO-2026700
5348584137|2025|08022025|02012025|US02  |MAT_619142_REV2|1947.92|L|1947.92|L|101|H|813335.89|USD|000002211|PO-2026146
5159466270|2025|18022025|26012025|CHI03 |RMF-IND-799MT|472.823|HR|472.823|HR|101|S|27798.34|USD|000002211|PO-2026119
5260224171|2025|13022025|02012025|CHI03 |Z-STEEL-9477|42917.07|L|42917.07|L|101|H|15471072.49|USD|000002211|
5778081495|2025|03012025|11012025|LON02 |Z-CHEM-4976|3241.272|L||L|101|S|938163.36|GBP|000005551|PO-2025020
5780510138|2025|22012025|13012025|UK01  |Z-CHEM-3018|9613.011|L|9613.011||122|S|824099.76|GBP|000005551|PO-2026290
5353893614|2025|13022025|04032025|US01  |Z-STEEL-8079|1916.917|L|1916.917||101|S|337841.55|USD|000002211|PO-2025190
5919317979|2025|27012025|07022025|IN02  |MAT_387168_REV2|7833.076|L||L|101|H|1477012.82|INR|000009981|PO-2025939
5482390396|2025|16.01.2025|21022025|IN02  |MAT_153927_A|250.882|BOX|250.882||101|S|14835.95|INR|000009981|
5680154041|2025|18012025|24012025|LON02 |Z-LUBE-6381|1581.138|L|1581.138|L|541|S|406484.97|GBP|000005551|
5050085022|2025|04032025|05012025|IN01  |MAT_503851_B|3559.733|L||L|122|H|1758200.52|INR|000009981|PO-2026030
5445591806|2025|18012025|02032025|IN01  |RMF-DIE-495MT|129.666|MT|129.666|MT|101|S|35726.82|INR|000004611|
5951902174|2025|21022025|11022025|LON02 |043795480171064703|4554.829|L|4554.829|L|101|S|1491957.5|GBP|000005551|PO-2025145
5209314647|2025|"=""19.01.2025"""|23012025|CHI03 |RMF-LUB-227L|374.085|EA||EA|101|H|103661.75|USD|000002211|PO-2026773
5288350291|2025|07022025|09032025|MUM01 |915194571970401375|331.681|L|331.681|L|101|H|145636.88|INR|000009981|PO-2026505
5464892732|2025|13.01.2025|31012025|UK01  |Z-FUEL-2886|467.366|BOX|467.366||501|H|101129.34|GBP|000005551|
5761558373|2025|10012025|06.01.2025|LON02 |RMF-LUB-474KG|1472.016|L|1472.016|L|321|S|179315.31|GBP|000005551|PO-2026369
5485412634|2025|06.01.2025|01/22/2025|US01  |425745495175232706|238.372|EA|238.372|EA|101|H|57816.84|USD|000002211|PO-2026949
5172159478|2025|08022025|10012025|US01  |MAT_721016_B|899.448|L|899.448||101|H|64813.97|USD|000002211|PO-2026070
5199189390|2025|29012025|16012025|DE02  |RMF-DIE-642MT|9195.634|L|9195.634|L|101|S|3287371.59|EUR|000000223|PO-2025494
5377460898|2025|07032025|15012025|MUM01 |Z-CHEM-8846|1944.693|L|1944.693|L|101|S|317235.62|INR|000009981|
5423350634|2025|28012025|14022025|IN01  |Z-CHEM-9506|233.28|BOX|233.28||321|H|80406.69|INR|000009981|PO-2025331
5985361796|2025|20022025|01032025|CHI03 |Z-CHEM-2274|430.955|HR|430.955|HR|101|S|190323.27|USD|000002211|PO-2026942
5968066603|2025|14022025|25.01.2025|IN02  |299693123567278810|16617.617|L|16617.617|L|101|H|2166584.84|INR|000009981|
5229246886|2025|22022025|08012025|IN02  |152718075876523240|286.16|MT|286.16|MT|201|S|127755.36|INR|000009981|
5633193832|2025|30.01.2025|09032025|IN01  |Z-FUEL-8145|5338.362|L|5338.362|L|101|S|1227355.52|INR|000009981|PO-2025664
5505096964|2025|06012025|21022025|DE02  |Z-FUEL-1146|909.15|L|909.15|L|101|S|226702.84|EUR|000000223|PO-2026051
5847181471|2025|30.01.2025|25022025|FRA01 |RMF-LUB-533MT|235.051|KG||KG|261|S|95551.51|EUR|000000112|
5901200423|2025|11-Mar-2025|04012025|IN01  |MAT_132515_REV1|1371.696|L||L|101|H|272717.73|INR|000009981|PO-2025882
5339365231|2025|10012025|07032025|IN02  |840709625040632878|1563.435|L|1563.435|L|101|S|713645.35|INR|000008821|PO-2025259
5824708454|2025|06032025|11032025|FRA01 |RMF-DIE-985L|474.447|KG|474.447|KG|101|S|126377.32|EUR|000000112|PO-2026451
5454376962|2025|21012025|18022025|DEL05 |Z-FUEL-5133|138.002|L|138.002|L|101|H|55775.08|INR|000004611|
5263717123|2025|20022025|14022025|UK01  |MAT_474868_A|63.797|BOX|63.797||101|S|28381.2|GBP|000005551|PO-2025532
5117329077|2025|16.03.2025|05022025|IN02  |560004877780145307|280.967|MT|280.967|MT|201|S|49086.79|INR|000008821|PO-2026224
