account_number,service_address,meter_id,billing_start,billing_end,read_type,consumption_kwh,peak_demand_kw,demand_charge,energy_charge,total_amount,currency
719754774,"Chicago Distribution Center, Sector 12",MTR-IND-070,2025-01-01,2025-01-31,ACTUAL,398773.44,4504.93,590866.94,5581858.92,6172725.86,USD
149306860,"Chicago Distribution Center, Industrial Area",MTR-IND-068,2025-01-01,2025-01-31,ACTUAL,382947.03,6084.05,517972.0,3566498.77,4084470.77,USD
240625577,"Pune Manufacturing Plant, Plot 45",MTR-IND-814,2025-01-01,2025-01-31,ACTUAL,715997.81,12697.95,1064052.27,4808709.51,5872761.78,USD
206624111,"Mumbai Corporate Office, Plot 45",MTR-GER-546,2025-01-01,2025-01-31,ACTUAL,123430.97,1378.94,149513.04,641733.93,791246.97,USD
235363852,"Chicago Distribution Center, Industrial Area",MTR-UK-704,2025-01-01,2025-01-31,ACTUAL,402863.01,4046.26,433856.78,3654765.54,4088622.32,USD
401498149,"Mumbai Corporate Office, Industrial Area",MTR-UK-888,2025-01-01,2025-01-31,ACTUAL,97839.2,1759.13,177143.49,807329.53,984473.02,USD
351307854,"Frankfurt Logistics Hub, Sector 12",MTR-UK-455,2025-01-01,2025-01-31,ESTIMATED,260951.32,4698.57,465610.64,2377492.68,2843103.32,USD
104925703,"Pune Manufacturing Plant, Sector 12",MTR-IND-360,2025-01-01,2025-01-31,ACTUAL,715673.78,8434.41,1002389.31,8322178.13,9324567.44,USD
343579474,"Chicago Distribution Center, Industrial Area",MTR-UK-500,2025-01-01,2025-01-31,ACTUAL,589523.57,11070.3,1286793.41,4375245.5,5662038.91,USD
230231218,"Chicago Distribution Center, Plot 45",MTR-UK-945,2025-01-01,2025-01-31,ACTUAL,447592.13,5682.09,704706.76,2329056.55,3033763.31,USD
311176248,"London Sales Office, Sector 12",MTR-USA-505,2025-01-01,2025-01-31,ACTUAL,74436.04,1432.09,133036.95,523332.47,656369.42,USD
122289284,"Pune Manufacturing Plant, Sector 12",MTR-USA-771,2025-01-01,2025-01-31,ACTUAL,579423.11,10340.49,1446729.96,7864399.13,9311129.09,USD
578564462,"Mumbai Corporate Office, Sector 12",MTR-IND-253,2025-01-01,2025-01-31,ACTUAL,102537.22,1387.12,177865.14,1286499.69,1464364.83,USD
249633032,"Mumbai Corporate Office, Industrial Area",MTR-USA-048,2025-01-01,2025-01-31,ACTUAL,94397.19,1203.27,109592.14,588586.14,698178.28,USD
720227905,"Pune Manufacturing Plant, Industrial Area",MTR-USA-223,2025-01-01,2025-01-31,ACTUAL,820381.03,8251.56,1021471.33,7864732.89,8886204.22,USD
503682328,"Chicago Distribution Center, Plot 45",MTR-UK-233,2025-01-31,2025-03-02,ESTIMATED,363887.81,7057.13,844316.66,1912390.72,2756707.38,USD
351804545,"London Sales Office, Industrial Area",MTR-IND-452,2025-01-31,2025-03-02,ACTUAL,57151.32,867.91,99722.11,655063.82,754785.93,USD
195409317,"Pune Manufacturing Plant, Plot 45",MTR-UK-276,2025-01-31,2025-03-02,ACTUAL,990029.51,17503.99,1741193.18,13319326.72,15060519.9,USD
223240030,"Chicago Distribution Center, Sector 12",MTR-IND-418,2025-01-31,2025-03-02,ACTUAL,429872.98,5345.06,761907.77,4408728.09,5170635.86,USD
899476565,"Pune Manufacturing Plant, Industrial Area",MTR-UK-957,2025-01-31,2025-03-02,ACTUAL,1037208.7,10702.1,1083537.91,14934116.31,16017654.22,USD
700201042,"Pune Manufacturing Plant, Plot 45",MTR-IND-581,2025-01-31,2025-03-02,ESTIMATED,594737.03,7080.05,910372.22,8847807.49,9758179.71,USD
790737482,"Frankfurt Logistics Hub, Plot 45",MTR-IND-430,2025-01-31,2025-03-02,ACTUAL,320452.69,4795.58,414408.81,3628171.12,4042579.93,USD
730180578,"Chicago Distribution Center, Industrial Area",MTR-UK-185,2025-01-31,2025-03-02,ACTUAL,633223.98,11890.66,1507339.49,3398215.84,4905555.33,USD
125484996,"Mumbai Corporate Office, Sector 12",MTR-USA-539,2025-01-31,2025-03-02,ACTUAL,107290.14,1115.43,127267.55,1266508.64,1393776.19,USD
699779028,"London Sales Office, Industrial Area",MTR-GER-874,2025-01-31,2025-03-02,ACTUAL,103635.64,2015.63,267779.88,955020.75,1222800.63,USD
530222307,"Frankfurt Logistics Hub, Plot 45",MTR-GER-851,2025-01-31,2025-03-02,ACTUAL,439191.74,6027.37,607290.65,3298881.5,3906172.15,USD
451014323,"London Sales Office, Sector 12",MTR-GER-504,2025-01-31,2025-03-02,ACTUAL,88112.54,1315.26,173051.49,810467.71,983519.2,USD
337180909,"Frankfurt Logistics Hub, Sector 12",MTR-UK-090,2025-01-31,2025-03-02,ACTUAL,305729.74,5221.63,683616.46,3184559.15,3868175.61,USD
158255920,"Frankfurt Logistics Hub, Plot 45",MTR-USA-648,2025-01-31,2025-03-02,ACTUAL,272769.4,4676.73,682529.49,2449000.43,3131529.92,USD
798919574,"Pune Manufacturing Plant, Industrial Area",MTR-IND-967,2025-01-31,2025-03-02,ACTUAL,895936.85,12556.03,1020975.33,12280692.11,13301667.44,USD
492151301,"London Sales Office, Plot 45",MTR-UK-631,2025-01-31,2025-03-02,ACTUAL,72971.09,1218.92,156560.85,902550.55,1059111.4,USD
104826827,"London Sales Office, Sector 12",MTR-GER-911,2025-01-31,2025-03-02,ESTIMATED,67435.76,1176.17,137330.73,732480.75,869811.48,USD
516605515,"Frankfurt Logistics Hub, Industrial Area",MTR-IND-577,2025-01-31,2025-03-02,ACTUAL,417590.53,5335.4,636445.64,4657160.85,5293606.49,USD
235143175,"Frankfurt Logistics Hub, Industrial Area",MTR-IND-059,2025-01-31,2025-03-02,ACTUAL,370083.6,6196.63,872075.71,3244829.29,4116905.0,USD
993040631,"Chicago Distribution Center, Plot 45",MTR-USA-375,2025-01-31,2025-03-02,ACTUAL,536596.1,9715.34,972863.79,3052010.62,4024874.41,USD
440485968,"Pune Manufacturing Plant, Plot 45",MTR-IND-240,2025-01-31,2025-03-02,ACTUAL,817218.75,13237.6,1805678.84,4247782.8,6053461.64,USD
444887219,"Pune Manufacturing Plant, Industrial Area",MTR-USA-764,2025-01-31,2025-03-02,ACTUAL,999277.83,18603.57,1829585.25,12911430.37,14741015.62,USD
280148043,"Frankfurt Logistics Hub, Industrial Area",MTR-USA-498,2025-01-31,2025-03-02,ACTUAL,421494.76,8235.02,797914.43,4658895.73,5456810.16,USD
271476270,"Pune Manufacturing Plant, Sector 12",MTR-GER-305,2025-01-31,2025-03-02,ESTIMATED,649255.14,9819.41,1101607.38,5676334.17,6777941.55,USD
117047687,"Frankfurt Logistics Hub, Sector 12",MTR-UK-336,2025-01-31,2025-03-02,ACTUAL,357189.61,3842.8,551972.46,2439999.04,2991971.5,USD
329733879,"Pune Manufacturing Plant, Plot 45",MTR-IND-637,2025-03-02,2025-04-01,ESTIMATED,1013241.04,12721.62,1392748.98,8767632.07,10160381.05,USD
408055264,"Pune Manufacturing Plant, Industrial Area",MTR-IND-650,2025-03-02,2025-04-01,ACTUAL,868398.68,16892.91,2006776.61,8835706.2,10842482.81,USD
565185155,"London Sales Office, Industrial Area",MTR-UK-429,2025-03-02,2025-04-01,ESTIMATED,68176.07,1196.71,112487.05,728838.26,841325.31,USD
503020213,"Chicago Distribution Center, Sector 12",MTR-IND-016,2025-03-02,2025-04-01,ACTUAL,426222.2,5533.57,605613.25,4601502.89,5207116.14,USD
589457499,"Pune Manufacturing Plant, Industrial Area",MTR-IND-635,2025-03-02,2025-04-01,ACTUAL,985317.67,12033.27,1802030.7,11077546.58,12879577.28,USD
500110500,"Pune Manufacturing Plant, Sector 12",MTR-USA-989,2025-03-02,2025-04-01,ACTUAL,906396.01,9179.78,768158.04,11095375.36,11863533.4,USD
360809212,"Pune Manufacturing Plant, Sector 12",MTR-GER-986,2025-03-02,2025-04-01,ACTUAL,829051.11,9895.91,1283669.85,6221209.75,7504879.6,USD
485359381,"Pune Manufacturing Plant, Plot 45",MTR-IND-446,2025-03-02,2025-04-01,ACTUAL,854129.96,8808.81,1071610.77,10798944.53,11870555.3,USD
360707977,"Frankfurt Logistics Hub, Sector 12",MTR-UK-752,2025-03-02,2025-04-01,ACTUAL,242929.14,3741.62,501310.06,1712694.91,2214004.97,USD
252590578,"Chicago Distribution Center, Industrial Area",MTR-UK-986,2025-03-02,2025-04-01,ACTUAL,558962.4,7032.52,624035.0,6398610.73,7022645.73,USD
774191123,"Mumbai Corporate Office, Sector 12",MTR-IND-613,2025-03-02,2025-04-01,ACTUAL,97928.6,1139.32,165674.61,1265281.54,1430956.15,USD
673480897,"Frankfurt Logistics Hub, Sector 12",MTR-USA-613,2025-03-02,2025-04-01,ESTIMATED,396511.98,6840.77,946780.12,2724089.33,3670869.45,USD
834783829,"Chicago Distribution Center, Plot 45",MTR-UK-832,2025-03-02,2025-04-01,ACTUAL,496554.23,8404.89,1164303.89,7030848.56,8195152.45,USD
271985039,"Frankfurt Logistics Hub, Industrial Area",MTR-IND-773,2025-03-02,2025-04-01,ACTUAL,242730.76,3660.63,507468.33,2576349.08,3083817.41,USD
772723728,"Chicago Distribution Center, Industrial Area",MTR-GER-214,2025-03-02,2025-04-01,ESTIMATED,644360.07,7741.35,1083775.68,4306415.72,5390191.4,USD
757429962,"Mumbai Corporate Office, Industrial Area",MTR-GER-977,2025-03-02,2025-04-01,ACTUAL,138230.87,2623.54,259388.25,2006000.72,2265388.97,USD
990172496,"London Sales Office, Sector 12",MTR-GER-650,2025-03-02,2025-04-01,ACTUAL,85208.35,1338.83,156768.98,453916.72,610685.7,USD
527629130,"London Sales Office, Sector 12",MTR-UK-103,2025-03-02,2025-04-01,ACTUAL,99869.75,1320.88,177729.14,1204652.03,1382381.17,USD
477024015,"Pune Manufacturing Plant, Sector 12",MTR-USA-636,2025-03-02,2025-04-01,ACTUAL,730974.01,9630.73,936376.07,7815073.25,8751449.32,USD
998101871,"Frankfurt Logistics Hub, Sector 12",MTR-USA-619,2025-03-02,2025-04-01,ACTUAL,401420.0,5764.48,521463.78,2876885.32,3398349.1,USD
316093865,"London Sales Office, Industrial Area",MTR-USA-344,2025-03-02,2025-04-01,ACTUAL,100770.78,1236.43,125931.79,1483309.87,1609241.66,USD
641055417,"Mumbai Corporate Office, Sector 12",MTR-UK-876,2025-03-02,2025-04-01,ACTUAL,141434.85,2741.65,259223.8,1566379.14,1825602.94,USD
864059335,"Mumbai Corporate Office, Industrial Area",MTR-IND-029,2025-03-02,2025-04-01,ACTUAL,99786.85,1676.91,209939.41,1345721.92,1555661.33,USD
680493793,"London Sales Office, Sector 12",MTR-USA-222,2025-03-02,2025-04-01,ACTUAL,103319.64,1996.27,180280.44,1051201.88,1231482.32,USD
371215012,"Frankfurt Logistics Hub, Sector 12",MTR-IND-361,2025-03-02,2025-04-01,ACTUAL,333237.92,3828.98,306895.0,3629409.69,3936304.69,USD
189563535,"Frankfurt Logistics Hub, Sector 12",MTR-UK-730,2025-04-01,2025-05-01,ACTUAL,469600.31,4838.18,518911.78,2953722.53,3472634.31,USD
933241990,"Mumbai Corporate Office, Plot 45",MTR-USA-673,2025-04-01,2025-05-01,ACTUAL,157137.92,2689.87,226244.21,1998029.16,2224273.37,USD
486568308,"Mumbai Corporate Office, Sector 12",MTR-USA-200,2025-04-01,2025-05-01,ACTUAL,143695.76,1556.41,203959.06,1679336.12,1883295.18,USD
704609440,"Pune Manufacturing Plant, Plot 45",MTR-USA-760,2025-04-01,2025-05-01,ACTUAL,949630.81,14422.06,1215571.12,12888127.2,14103698.32,USD
259281365,"Chicago Distribution Center, Sector 12",MTR-GER-324,2025-04-01,2025-05-01,ACTUAL,674110.06,6868.52,751371.64,3783834.48,4535206.12,USD
998283276,"Pune Manufacturing Plant, Industrial Area",MTR-IND-283,2025-04-01,2025-05-01,ACTUAL,1166637.51,12283.88,1259880.28,10894773.49,12154653.77,USD
729470250,"London Sales Office, Sector 12",MTR-USA-744,2025-04-01,2025-05-01,ACTUAL,109371.98,1356.74,144886.28,1506969.35,1651855.63,USD
890166520,"Frankfurt Logistics Hub, Plot 45",MTR-UK-978,2025-04-01,2025-05-01,ACTUAL,383548.66,6528.67,578396.55,2383085.88,2961482.43,USD
414741877,"London Sales Office, Plot 45",MTR-USA-153,2025-04-01,2025-05-01,ACTUAL,96609.66,1397.42,152201.94,1246863.56,1399065.5,USD
271080779,"Pune Manufacturing Plant, Plot 45",MTR-GER-404,2025-04-01,2025-05-01,ACTUAL,957525.62,9870.7,1360043.21,9145696.12,10505739.33,USD
414310017,"Frankfurt Logistics Hub, Industrial Area",MTR-IND-980,2025-04-01,2025-05-01,ESTIMATED,434519.24,7257.68,653865.88,5079080.39,5732946.27,USD
191146020,"Frankfurt Logistics Hub, Plot 45",MTR-GER-080,2025-04-01,2025-05-01,ACTUAL,390146.18,5818.09,513063.54,4765268.85,5278332.39,USD
153473225,"Chicago Distribution Center, Sector 12",MTR-IND-794,2025-04-01,2025-05-01,ACTUAL,728079.28,7627.45,807454.34,6006567.83,6814022.17,USD
695222803,"Pune Manufacturing Plant, Sector 12",MTR-USA-470,2025-04-01,2025-05-01,ACTUAL,978588.97,16527.97,1550075.04,8191091.34,9741166.38,USD
176279497,"Frankfurt Logistics Hub, Industrial Area",MTR-IND-023,2025-04-01,2025-05-01,ACTUAL,473975.7,5157.25,569878.58,2414107.2,2983985.78,USD
193359973,"London Sales Office, Plot 45",MTR-GER-198,2025-04-01,2025-05-01,ESTIMATED,121892.65,1464.19,184904.46,1000745.26,1185649.72,USD
699358532,"Pune Manufacturing Plant, Plot 45",MTR-USA-865,2025-04-01,2025-05-01,ACTUAL,722579.0,13905.06,1694279.48,10818356.74,12512636.22,USD
929794120,"Chicago Distribution Center, Plot 45",MTR-USA-079,2025-04-01,2025-05-01,ACTUAL,494698.59,8974.89,1174497.41,4302077.91,5476575.32,USD
371923041,"Mumbai Corporate Office, Industrial Area",MTR-UK-692,2025-04-01,2025-05-01,ACTUAL,107981.29,1722.98,168984.74,1481175.5,1650160.24,USD
390275694,"Frankfurt Logistics Hub, Plot 45",MTR-GER-126,2025-04-01,2025-05-01,ACTUAL,345898.77,6811.99,991332.17,4151858.11,5143190.28,USD
757957542,"Frankfurt Logistics Hub, Sector 12",MTR-USA-117,2025-04-01,2025-05-01,ACTUAL,470131.86,6726.48,797541.48,3204174.17,4001715.65,USD
563618204,"Mumbai Corporate Office, Sector 12",MTR-USA-571,2025-04-01,2025-05-01,ACTUAL,150441.13,2271.24,258865.07,2145452.24,2404317.31,USD
782510463,"Pune Manufacturing Plant, Sector 12",MTR-UK-130,2025-04-01,2025-05-01,ESTIMATED,1250734.79,20917.14,2589079.69,8869590.34,11458670.03,USD
769343842,"Frankfurt Logistics Hub, Industrial Area",MTR-USA-849,2025-04-01,2025-05-01,ACTUAL,551166.27,9557.55,1296075.73,5673924.14,6969999.87,USD
209670249,"London Sales Office, Industrial Area",MTR-UK-800,2025-04-01,2025-05-01,ACTUAL,121983.03,2345.5,337230.15,622438.43,959668.58,USD
164833905,"London Sales Office, Sector 12",MTR-GER-034,2025-05-01,2025-05-31,ACTUAL,96890.33,1267.19,134580.55,841240.72,975821.27,USD
848395959,"Pune Manufacturing Plant, Plot 45",MTR-GER-746,2025-05-01,2025-05-31,ACTUAL,1048028.46,20842.05,2944997.37,7017136.04,9962133.41,USD
956387390,"Frankfurt Logistics Hub, Plot 45",MTR-UK-424,2025-05-01,2025-05-31,ACTUAL,412082.21,4692.1,406516.5,2121354.71,2527871.21,USD
999821524,"Mumbai Corporate Office, Industrial Area",MTR-UK-484,2025-05-01,2025-05-31,ESTIMATED,190493.84,3440.41,382137.11,1465636.62,1847773.73,USD
433308935,"Pune Manufacturing Plant, Industrial Area",MTR-USA-517,2025-05-01,2025-05-31,ACTUAL,1190847.59,14052.7,1294508.5,6663761.02,7958269.52,USD
947424407,"Chicago Distribution Center, Sector 12",MTR-GER-020,2025-05-01,2025-05-31,ACTUAL,574685.29,8951.59,1334691.4,3372999.57,4707690.97,USD
504904799,"Frankfurt Logistics Hub, Sector 12",MTR-USA-985,2025-05-01,2025-05-31,ACTUAL,490376.83,5408.68,726189.42,3560202.99,4286392.41,USD
709501154,"Frankfurt Logistics Hub, Plot 45",MTR-GER-758,2025-05-01,2025-05-31,ACTUAL,505183.44,8809.66,713087.77,7497548.38,8210636.15,USD
666235129,"London Sales Office, Plot 45",MTR-IND-802,2025-05-01,2025-05-31,ACTUAL,102155.77,1826.49,239590.39,643374.15,882964.54,USD
535793761,"Pune Manufacturing Plant, Industrial Area",MTR-IND-457,2025-05-01,2025-05-31,ACTUAL,853366.85,16441.77,2438036.66,4899155.37,7337192.03,USD
220715080,"Chicago Distribution Center, Sector 12",MTR-IND-496,2025-05-01,2025-05-31,ACTUAL,754661.18,14055.08,1313675.17,11181702.79,12495377.96,USD
978512612,"Mumbai Corporate Office, Plot 45",MTR-GER-860,2025-05-01,2025-05-31,ACTUAL,147382.47,1961.53,169446.07,1057956.86,1227402.93,USD
895813522,"Mumbai Corporate Office, Plot 45",MTR-IND-089,2025-05-01,2025-05-31,ACTUAL,130403.75,1615.36,163827.14,1185637.28,1349464.42,USD
336797793,"Mumbai Corporate Office, Industrial Area",MTR-GER-226,2025-05-01,2025-05-31,ACTUAL,178007.7,2506.28,213472.29,1939889.72,2153362.01,USD
158302786,"Chicago Distribution Center, Industrial Area",MTR-UK-617,2025-05-01,2025-05-31,ACTUAL,752348.47,14582.87,1841824.02,9245003.71,11086827.73,USD
625925707,"London Sales Office, Plot 45",MTR-UK-948,2025-05-01,2025-05-31,ESTIMATED,102279.54,1144.07,139440.24,773175.38,912615.62,USD
869088857,"Chicago Distribution Center, Plot 45",MTR-UK-923,2025-05-01,2025-05-31,ACTUAL,735342.56,7860.1,1115518.58,4275179.86,5390698.44,USD
285041395,"Mumbai Corporate Office, Sector 12",MTR-UK-378,2025-05-01,2025-05-31,ACTUAL,121787.78,2243.72,280591.07,1393940.12,1674531.19,USD
358774333,"Mumbai Corporate Office, Sector 12",MTR-IND-755,2025-05-01,2025-05-31,ACTUAL,165990.66,3057.74,298285.2,1165250.26,1463535.46,USD
243400757,"London Sales Office, Plot 45",MTR-UK-961,2025-05-01,2025-05-31,ACTUAL,121488.47,2399.36,269231.15,1154522.49,1423753.64,USD
661583108,"Mumbai Corporate Office, Sector 12",MTR-GER-349,2025-05-01,2025-05-31,ACTUAL,180617.07,2399.03,294367.85,1776535.46,2070903.31,USD
390872775,"Pune Manufacturing Plant, Sector 12",MTR-GER-217,2025-05-01,2025-05-31,ACTUAL,1213636.12,23463.43,3074781.04,6683348.14,9758129.18,USD
378646752,"Frankfurt Logistics Hub, Plot 45",MTR-UK-618,2025-05-01,2025-05-31,ACTUAL,332567.93,3463.21,309111.27,2618317.57,2927428.84,USD
726006868,"Pune Manufacturing Plant, Plot 45",MTR-USA-855,2025-05-01,2025-05-31,ACTUAL,881065.32,17225.39,1999722.96,7369857.99,9369580.95,USD
951253941,"Frankfurt Logistics Hub, Industrial Area",MTR-USA-611,2025-05-01,2025-05-31,ACTUAL,407054.37,7285.22,1015108.6,3270151.72,4285260.32,USD
289596442,"London Sales Office, Industrial Area",MTR-IND-320,2025-05-31,2025-06-30,ACTUAL,82457.16,976.4,102644.58,447883.77,550528.35,USD
251162682,"Frankfurt Logistics Hub, Plot 45",MTR-USA-457,2025-05-31,2025-06-30,ACTUAL,408174.14,6567.51,934946.19,4959024.15,5893970.34,USD
826035909,"Frankfurt Logistics Hub, Plot 45",MTR-IND-485,2025-05-31,2025-06-30,ACTUAL,442757.35,7504.88,712531.4,2974149.7,3686681.1,USD
125765925,"Pune Manufacturing Plant, Plot 45",MTR-IND-355,2025-05-31,2025-06-30,ACTUAL,727757.75,9953.94,1429144.16,6752815.73,8181959.89,USD
735976307,"Pune Manufacturing Plant, Industrial Area",MTR-UK-458,2025-05-31,2025-06-30,ACTUAL,875194.33,11222.74,1476385.71,11673389.37,13149775.08,USD
846091205,"Chicago Distribution Center, Industrial Area",MTR-UK-639,2025-05-31,2025-06-30,ACTUAL,627837.97,7161.08,652639.81,6877129.83,7529769.64,USD
336162154,"London Sales Office, Plot 45",MTR-UK-493,2025-05-31,2025-06-30,ACTUAL,101983.8,2038.73,210013.92,798193.09,1008207.01,USD
594600655,"Pune Manufacturing Plant, Plot 45",MTR-USA-296,2025-05-31,2025-06-30,ACTUAL,1104679.29,21544.67,2368546.51,8211412.71,10579959.22,USD
870343053,"Chicago Distribution Center, Sector 12",MTR-GER-836,2025-05-31,2025-06-30,ACTUAL,542683.4,6277.17,651763.32,3001847.5,3653610.82,USD
605541761,"Pune Manufacturing Plant, Industrial Area",MTR-UK-385,2025-05-31,2025-06-30,ACTUAL,762185.78,15177.05,1423909.92,4131758.17,5555668.09,USD
874081722,"Chicago Distribution Center, Sector 12",MTR-UK-833,2025-05-31,2025-06-30,ACTUAL,739020.0,10862.77,1445698.47,5380597.71,6826296.18,USD
827120128,"Chicago Distribution Center, Plot 45",MTR-UK-515,2025-05-31,2025-06-30,ACTUAL,706819.15,13578.33,1891869.01,7497944.91,9389813.92,USD
753660095,"Chicago Distribution Center, Industrial Area",MTR-UK-864,2025-05-31,2025-06-30,ACTUAL,819095.83,10462.24,1189656.97,12268170.37,13457827.34,USD
412849823,"Chicago Distribution Center, Plot 45",MTR-USA-399,2025-05-31,2025-06-30,ACTUAL,573391.45,10350.47,1420402.04,4358885.3,5779287.34,USD
800943195,"Mumbai Corporate Office, Sector 12",MTR-GER-919,2025-05-31,2025-06-30,ESTIMATED,165626.94,3097.32,287883.26,1439597.15,1727480.41,USD
154057536,"Mumbai Corporate Office, Sector 12",MTR-GER-095,2025-05-31,2025-06-30,ACTUAL,133392.17,1928.76,263612.2,986762.41,1250374.61,USD
